[2026-02-11 12:29:26,829] 17 root INFO - Starting data ingestion
[2026-02-11 12:29:27,250] 96 pymongo.serverSelection INFO - {"message": "Waiting for suitable server to become available", "selector": "Primary()", "operation": "find", "topologyDescription": "<TopologyDescription id: 698cca87d6aa28119390f8bd, topology_type: ReplicaSetNoPrimary, servers: [<ServerDescription ('ac-8j4ci3m-shard-00-00.lvp2ctv.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-8j4ci3m-shard-00-01.lvp2ctv.mongodb.net', 27017) server_type: Unknown, rtt: None>, <ServerDescription ('ac-8j4ci3m-shard-00-02.lvp2ctv.mongodb.net', 27017) server_type: Unknown, rtt: None>]>", "clientId": {"$oid": "698cca87d6aa28119390f8bd"}, "remainingTimeMS": 29}
[2026-02-11 12:29:30,116] 65 root INFO - Performed train test split on the dataframe
[2026-02-11 12:29:30,116] 67 root INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-02-11 12:29:30,116] 75 root INFO - Exporting train and test file path.
[2026-02-11 12:29:30,148] 84 root INFO - Exported train and test file path.
[2026-02-11 12:29:30,153] 22 root INFO - Initiate the data Validation
[2026-02-11 12:29:30,211] 32 root INFO - Required number of columns:2
[2026-02-11 12:29:30,211] 33 root INFO - Data frame has columns:31
[2026-02-11 12:29:30,211] 32 root INFO - Required number of columns:2
[2026-02-11 12:29:30,211] 33 root INFO - Data frame has columns:31
[2026-02-11 12:29:30,301] 24 root INFO - data Validation Completed
